,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Heritage,-0.028566433,0.09885323,0.012425804,-0.16067562,0.24866837,0.11820595,0.25964028,0.10456455,0.056879647,-0.08254119,0.046075627,-0.03337151,-0.06211613,0.18561675,-0.07550353,-0.13211685,0.033386044,0.15689413,-0.14889573,-0.1369233,0.013983792,-0.001893721,0.20427115,0.049615957,-0.0004266449,-0.025530256,0.21599242,0.08384147,-0.009616277,0.014146597,-0.02537052,-0.13292731,0.0022339504,-0.09062838,-0.15654916,0.050844744,0.059798583,-0.06769206,-0.4064344,-0.09942729,0.1572624,-0.1611956,0.27974415,-0.038076125,0.046080973,0.33658874,-0.015754296,-0.20437671,-0.195404,0.07729518
Obama2012,0.03167504,-0.14740118,0.06537103,0.22335634,-0.04679643,-0.1619906,0.16762124,0.22946039,0.019005127,-0.07317653,0.19639345,0.026201198,0.12901646,-0.1282451,-0.063875735,0.030655982,-0.0800042,-0.20091632,-0.03868182,-0.23649359,0.15531172,0.081451334,-0.01685439,-0.20036724,0.08187491,-0.10595298,0.08030823,-0.022183115,0.070679024,-0.1131171,0.07380853,-0.18448958,0.024364011,-0.20494397,0.087541506,-0.152998,-0.18851867,0.3127821,-0.009030256,0.13135733,-0.09073685,0.15030019,-0.12046049,0.11590062,0.14820853,0.04627419,-0.08233739,0.33286908,0.20455104,0.0815136
RickSantorum,-0.08163923,0.0862015,0.010213378,-0.19685218,0.07295709,0.012048803,0.18573615,-0.049349222,0.020282935,0.040588025,-0.1548665,-0.11629852,-0.0046011345,-0.023425743,0.029545575,0.1910129,0.03900002,0.29917735,-0.1746847,-0.20301121,-0.09007236,-0.12042206,0.14575827,0.094037056,-0.013775402,0.042205967,0.26518705,-0.31068698,-0.069993764,0.1395068,0.04627664,-0.008301112,0.15714154,-0.25164577,0.2694159,0.033053353,-0.05961796,0.29969606,-0.028758265,-0.1442826,0.07635012,-0.17337668,0.12598418,0.21971768,-0.06743333,-0.08063422,0.07466672,0.09357458,0.024777057,0.11642439
THEHermanCain,-0.10013175,0.0033856397,-0.01570394,-0.21551755,0.097674854,-0.11819519,0.21767032,0.11405467,0.13216233,-0.039333347,-0.09447043,-0.17209677,-0.07019752,0.026298743,-0.15871753,0.057785194,-0.05638666,0.24356106,-0.24811488,-0.19515328,-0.3502522,-0.1960001,0.19630343,0.116261885,-0.21885912,-0.047360342,0.07146971,-0.101934195,-0.03179306,0.06907589,-0.041599818,-0.18837756,0.20280583,-0.07120368,0.13221401,0.024635643,0.11044892,0.1399384,-0.29068235,-0.07885637,0.04348866,-0.19264193,0.13757361,0.08719489,-0.014643166,0.10341021,0.07924251,0.09881215,0.05218381,0.04172999
johnboehner,0.0026303905,0.16496062,0.15780038,-0.073830135,0.20845398,0.11770576,0.098899156,-0.09291133,0.14450835,-0.04074285,0.045319777,-0.020457832,0.25252333,-0.07781842,-0.056918353,-0.021734528,0.108002566,0.25075847,-0.37883624,0.040339977,0.17363553,0.19208533,0.19493175,-0.11307974,0.020559287,0.07434468,0.11970893,-0.052054115,0.11966618,-0.051696263,-0.047420997,-0.2512125,0.046619892,0.011676352,-0.017660383,0.014506784,0.1895641,-0.027632013,-0.25126758,-0.20237915,0.086657695,-0.16103062,0.19429357,-0.054474823,0.0021965425,0.091705866,0.23610741,0.010944034,-0.14155823,0.15230732
limbaugh,0.09537209,0.09789684,0.07146557,-0.09904517,0.013222465,0.02017716,0.22197683,0.22462215,-0.01899484,0.10335989,-0.037731443,-0.2124239,-0.11500703,0.085860424,-0.002533692,-0.063698865,-0.04336988,0.13974616,-0.008124059,-0.16630894,-0.12447909,-0.17802978,0.13181224,0.16508074,-0.020452557,0.11668296,0.37594697,0.12905547,0.16266142,0.12591353,-0.17707232,0.005139419,0.07075722,-0.18147157,0.26325744,0.1419528,0.14346236,-0.13375287,-0.12640187,0.008634585,0.13600978,-0.11639077,0.17100604,0.032372463,0.0023965077,0.3489301,0.10680529,-0.08162779,-0.10456606,-0.046401776
democracynow,0.07284059,-0.12141797,-0.17896022,0.08038148,-0.032113176,-0.00784796,0.2677216,0.3483815,-0.0886596,0.007578462,-0.01360507,0.12701352,-0.019473774,0.0026944058,0.14552341,0.1469458,0.0702027,-0.099212885,-0.18736519,0.004151996,-0.10485655,-0.12295254,-0.22121105,-0.3138544,0.024273716,0.14104393,0.036156878,0.3350927,-0.16270196,-0.027509315,0.003604864,-0.021029927,-0.09958566,-0.019465147,-0.102914505,-0.005437902,0.11720781,0.22316836,-0.0040416364,0.07697415,-0.03496197,0.04054309,-0.19910514,0.0015035305,-0.07560116,-0.17506412,-0.24046507,0.14380667,-0.1186974,0.18127412
RepRonPaul,-0.16606793,-0.08620837,-0.22488059,-0.0050736573,0.051582947,0.15989882,0.18156287,0.15982008,0.107062496,0.15514481,-0.029405704,-0.047661014,0.06243053,0.22221811,0.056037657,0.17466794,0.19567396,-0.1647146,-0.16310573,-0.087567665,-0.23752485,-0.05943429,0.0048440713,-0.12358276,0.014888779,0.006880718,0.11715555,0.10182908,-0.029671269,-0.08606909,-0.17207891,0.057243407,0.1295086,0.15586229,0.096691415,0.033716165,0.048345897,-0.08800666,-0.18902217,-0.3680936,0.10563418,0.037729457,0.019552378,0.08465656,-0.23389263,-0.18287551,-0.080337994,0.07087645,0.072496906,0.32204512
TheDemocrats,0.07770375,-0.23933913,0.08627124,0.19129965,-0.017893286,-0.03823017,0.2469615,0.15114771,0.18093392,-0.17883375,0.15525565,-0.036349323,0.035226267,-0.12010962,-0.07904876,0.15092471,-0.08167223,-0.04890694,0.14858405,-0.3822311,0.038026977,-0.063641146,0.003592456,-0.22118656,0.21810712,0.01332796,0.023465713,0.14633438,0.19576082,-0.13076527,0.11436053,-0.052058388,0.1466502,-0.07285878,-0.08134227,-0.022020372,-0.08843648,0.24301197,0.11172134,0.148201,0.16576627,-0.036876313,-0.032676596,-0.22712186,-0.1158654,0.07268364,-0.005941376,0.062920414,0.16133766,0.18474211
thinkprogress,0.039795686,-0.1650386,-0.055746008,0.12859128,-0.24868906,0.03523212,0.33130327,0.3745811,0.04428866,0.09949397,-0.10221484,0.08412853,0.07467568,-0.23753817,0.10943379,0.089647315,-0.038899895,-0.09344622,-0.07261764,-0.13472752,0.05975303,-0.05174139,-0.0747102,-0.20954515,-0.007945393,0.017900083,0.1226064,0.09869702,-0.2172542,-0.07671857,-0.07739011,-0.15589726,0.01765521,-0.16802695,0.0721186,-0.10600001,0.0148669435,0.17228103,0.07057477,0.2579923,-0.03518595,0.16713652,-0.33827037,-0.12530465,0.061153762,-0.03329903,-0.06271373,0.060933433,-0.012114542,0.103272766
OccupyWallSt,0.14925972,0.10326089,-0.23200016,-0.0106222415,-0.025684886,-0.14273116,0.25484267,0.13050546,-0.06424847,-0.16035558,0.014940937,0.2787366,-0.14557089,0.06489714,0.09786095,0.17306247,0.1714005,0.12961994,-0.20436314,0.20236145,-0.0037302666,0.08637003,-0.13075696,-0.31447247,0.026886703,0.06057081,0.07320612,0.23965074,0.0026733142,0.18201189,-0.20684521,-0.15159607,0.02529694,-0.010914353,-0.075567774,0.052009854,0.06650153,0.059477124,-0.12019538,0.09046931,0.046549365,-0.10305584,-0.008938662,-0.03157036,-0.1601562,-0.02348052,-0.27040407,0.1690374,-0.18998829,0.036911376
HRC,0.14865637,-0.24818125,0.034615085,-0.060247943,-0.030283121,0.19598341,0.21182057,0.06175973,-0.2843379,-0.1338137,0.03230145,0.11395955,-0.004141125,-0.08382405,-0.3098893,0.19307223,-0.067379124,-0.24530877,0.20479348,-0.18805008,0.13246302,-0.013867006,-0.23374234,-0.12801512,0.096738845,0.07112206,0.021188973,0.042095646,-0.058998473,0.006091648,-0.124468446,-0.040224303,-0.1676022,-0.2037059,-0.181782,0.24850509,0.10575029,0.016289225,-0.066650994,0.034302186,-0.14374813,0.025025638,0.01428341,0.15305567,0.034607835,0.021117775,-0.12329498,-0.045028854,-0.20462056,0.123170786
MicheleBachmann,-0.018295757,-0.00019148698,0.097551115,-0.26030183,0.20527223,0.008986005,0.2971982,0.014636898,0.11887118,-0.16651036,-0.14579917,-0.22438037,0.04043825,-0.037631605,-0.23188253,-0.02688175,0.021687618,0.31544936,-0.18691906,-0.23951933,-0.095345326,-0.11260945,0.060679913,0.2201708,-0.10798016,0.06596734,0.18656854,-0.04978572,0.08345269,-0.010727994,-0.18938053,-0.105573654,0.05168054,0.03827788,0.011232549,0.06379888,0.0050988733,0.017648164,-0.25023946,-0.16026458,0.11075028,-0.17074637,0.20914572,0.19176446,0.0036586658,-0.025840003,0.10468649,0.08131962,-0.025709936,0.09592666
GovernorPerry,0.018293053,-0.20164692,0.06955659,-0.09852808,0.07648964,0.10366312,0.13224432,-0.08032184,0.114264086,-0.064822376,-0.10745297,-0.19893868,-0.16094103,-0.051170975,-0.19602911,0.29296646,-0.028970037,0.13141894,-0.22680478,-0.23452297,-0.092317365,0.035641514,0.07932203,0.18960334,-0.09338133,0.12734379,0.18326168,-0.26092705,-0.110111415,0.052249625,0.0020108302,-0.08643626,0.095841765,-0.19210927,0.07664285,0.024614632,-0.022821393,-0.015713172,-0.38895842,-0.22956145,0.0034099058,-0.0734093,0.041274007,0.04092068,0.02948009,-0.2309497,0.15640567,0.047183383,0.09004806,0.046189032
